timestamp,request_id,queue_type,alloc_type,connection_ms,bytes_sent,total_round_trip_ms
1779981556,0,SPSC,Arena,0.1714,150532,11.2860
1779981556,1,SPSC,Arena,0.1645,150532,22.1550
1779981556,2,SPSC,Arena,0.1771,150532,32.8112
1779981556,3,SPSC,Arena,0.0417,150532,42.7320
1779981556,4,SPSC,Arena,0.1075,150532,32.0072
1779981556,5,SPSC,Arena,0.0656,150532,31.7380
1779981556,6,SPSC,Arena,0.0570,150532,21.2529
1779981556,7,SPSC,Arena,0.0579,150532,31.7194
1779981556,8,SPSC,Arena,0.1671,150532,31.7919
1779981556,9,SPSC,Arena,0.0625,150532,31.4908
1779981556,10,SPSC,Arena,0.1123,150532,31.4291
1779981556,11,SPSC,Arena,0.0644,150532,31.4405
1779981556,12,SPSC,Arena,0.0591,150532,31.3623
1779981556,13,SPSC,Arena,0.0632,150532,31.3647
1779981556,14,SPSC,Arena,0.0842,150532,31.3606
1779981556,15,SPSC,Arena,0.0570,150532,31.4355
1779981556,16,SPSC,Arena,0.0627,150532,31.5161
1779981556,17,SPSC,Arena,0.0827,150532,20.9506
1779981556,18,SPSC,Arena,0.0615,150532,31.6336
1779981556,19,SPSC,Arena,0.1082,150532,31.5366
1779981556,20,SPSC,Arena,0.0591,150532,31.4023
1779981556,21,SPSC,Arena,0.0799,150532,31.4441
1779981556,22,SPSC,Arena,0.0451,150532,31.2629
1779981556,23,SPSC,Arena,0.0551,150532,31.4443
1779981556,24,SPSC,Arena,0.0734,150532,31.4782
1779981556,25,SPSC,Arena,0.1364,150532,31.3056
1779981556,26,SPSC,Arena,0.0718,150532,31.3933
1779981556,27,SPSC,Arena,0.0558,150532,31.4059
1779981556,28,SPSC,Arena,0.0646,150532,31.4212
1779981556,29,SPSC,Arena,0.0610,150532,31.3296
1779981556,30,SPSC,Arena,0.1490,150532,31.4384
1779981557,31,SPSC,Arena,0.0615,150532,31.5568
1779981557,32,SPSC,Arena,0.0608,150532,31.5518
1779981557,33,SPSC,Arena,0.0970,150532,31.5599
1779981557,34,SPSC,Arena,0.0770,150532,31.6055
1779981557,35,SPSC,Arena,0.0606,150532,31.4779
1779981557,36,SPSC,Arena,0.0575,150532,31.5127
1779981557,37,SPSC,Arena,0.0815,150532,31.5497
1779981557,38,SPSC,Arena,0.0632,150532,31.5576
1779981557,39,SPSC,Arena,0.0710,150532,31.5301
1779981557,40,SPSC,Arena,0.0727,150532,31.3883
1779981557,41,SPSC,Arena,0.1059,150532,31.2893
1779981557,42,SPSC,Arena,0.0718,150532,31.3857
1779981557,43,SPSC,Arena,0.0525,150532,31.5902
1779981557,44,SPSC,Arena,0.0694,150532,31.6157
1779981557,45,SPSC,Arena,0.0560,150532,31.6226
1779981557,46,SPSC,Arena,0.0470,150532,31.6308
1779981557,47,SPSC,Arena,0.0608,150532,31.3120
1779981557,48,SPSC,Arena,0.0551,150532,31.3728
1779981557,49,SPSC,Arena,0.0615,150532,31.3337
1779981557,50,SPSC,Arena,0.0448,150532,31.2812
